,acy,sem,cos_id,cos_code,num_limit,dep_limit,URL,cos_cname,cos_credit,cos_hours,TURL,teacher,cos_time,memo,cos_ename,brief,degree,dep_id,dep_primary,dep_cname,dep_ename,cos_type,cos_type_e,crsoutline_type,reg_num,depType
1131_910425,113,1,910425,SESE10177,9999,N,,機電整合,3.00,3.00,,孔健君,T234-,機航組，上課地點：國防大學理工學院,Mechatronics,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,33,T
1131_910436,113,1,910436,SESE00125,9999,*,,陶瓷材料,3.00,3.00,,楊朝堯,T234-,化材組，上課地點：國防大學理工學院。,Ceramic Materials,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,選修,Elective,data,4,T
1131_910441,113,1,910441,SESE20191,9999,*,,鋼筋混凝土,3.00,3.00,,張文南,M9T34-,環資組，重補修課程，上課地點：國防大學理工學院,Reinforced Concrete,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,,8,T
1131_113003,113,1,113003,MDDP10009,200,*,,生理學,2.20,2.20,,吳鈺琳、胡瑜峰、阮琪昌、李怡萱、林惠菁、黃自強、張原翊、簡千栩、吳莉玲、董萃英,M1234T1234W1234R1234F1234-YT001[YM],限醫三牙二，請參照PBL整合課程行事曆,Physiology,,1,D03,1,生理學科,Department of Physiology,必修,Required,data,187,U
1131_113101,113,1,113101,MDDR10014,9999,*,,藥理學,2.70,2.70,,嚴錦城、黃金洲、李新城、霍德義、王湘翠、駱雨利、張世霖、胡德民、張婷婷、兵岳忻、梁耀仁、柯信國、藍耿欣、鄒樂起、李沛璋、王怡凱、王笙帆、葉翰宜,M12345678T34W1234R1234F12345678-YT002[YM],請參照PBL整合課程行事曆,Pharmacology,,1,D04,1,藥理學科,Department of Pharmacology,必修,Required,data,136,U
1131_113403,113,1,113403,MDDA10001,60,*,,應用病理學,2.00,2.00,,杭仁釩、李芬瑤、許志怡、葉奕成、郭盈汝、王蕾琪、梁文議、林士堯、楊靜芬、林士傑、陳妍英、張富邦,T34-YX406[YM],優先護理、藥學，次醫技、醫放、物輔，需先修解剖學 ，生理學等相關科目。,Applied Pathology,,1,D07,1,病理學科,Department of Pathology,必修,Required,data,54,U
1131_113506,113,1,113506,MDDH10012,9999,*,,環境衛生概論,1.00,1.00,,楊振昌、陳美蓮、余國賓、紀凱獻、黃鈺芳、潘文驥、張榮偉、郭憲文,T2-YX216[YM],本課程為選修，上課時間實際為週二12節後8週(11/05-12/24)，醫學系C組請線上上課。本課程為應考公共衛生師指定修習科目。,Introduction to Environmental Health,,1,D08,1,公共衛生學科,Department of Public Health,選修,Elective,data,33,U
1131_113507,113,1,113507,MDMD10002,9999,N,,公共衛生概論,1.00,1.00,,陳娟瑜、楊振昌、黃心苑、黃嵩立、周穎政、雷文玫、陳信任,T1-YX216[YM],公共衛生領域，限醫學系、中醫系二年級(含)以上，前8週上課，醫學系C組請線上上課。上課時間為周二1-2節，為必修，請同學第二節除了環境衛生課程之外，勿排其他課。本課程為應考公共衛生師指定修習科目。,Introduction to Public Health,,1,QLS,1,護理學系智慧健康照護跨域學程,,選修,Elective,data,140,Q
1131_113700,113,1,113700,MDDS20056,9999,*,,外科學概論,.90,.90,,張世慶、陳柏霖、方文良、蔡昕霖、林之勛、王天祥、石育仲、石柏威、陳瑞裕、陳沂名,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Introduction to Surgery,,1,D10,1,外科學科,Department of Surgery,必修,Required,data,134,U
1131_113801,113,1,113801,MDMD20249,146,N,,醫療與社會人文,2.00,2.00,,周穎政、郭文華、黃嵩立、喬芷、梁立霖、林文旭、藍凡耘、任一安、楊南屏、顏永豐、王宗曦、李雅玲、蔡淑鈴、葉采衢、簡詩穎、陳秀丹,T12W56-,醫學人文與社會領域必修，週二12前八週上課，週三56後八週上課，課程教室將另行通知，限醫學系四年級。本課開放智慧健康照護跨域學程學生選修，欲選修者請務必聯繫醫學人文暨教育學科助教，以協助分班。,Medical Humanity and Social Science,,1,QLS,1,護理學系智慧健康照護跨域學程,,選修,Elective,data,141,Q
